Module,Reaction,url,KOs,Rule,Review comment,reaction_orthology,module_orthology,module_definition
M00307,R00014,https://www.genome.jp/dbget-bin/www_bget?rn:R00014,"K01653,K00161,K01652,K00163,K01568,K11258,K00162","K00161+K00162+K00163,K01568,K01652+K01653,K01652+K11258","Reviewed by SM. first three are a described in https://biocyc.org/META/NEW-IMAGE?type=ENZYME&object=PYRUVATEDEH-CPLX, second in DOI:10.1093/nar/15.4.1753. Isozyme III is made of IlvI and H (K01652+K01653), isozyme II is made of IlvG and IlvM K01652 and K11258 Chipman et al BBA 1385 (1998) 401-419","{'K00161': 'pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]', 'K00162': 'pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]', 'K00163': 'pyruvate dehydrogenase E1 component [EC:1.2.4.1]', 'K01568': 'pyruvate decarboxylase [EC:4.1.1.1]', 'K01652': 'acetolactate synthase I/II/III large subunit [EC:2.2.1.6]', 'K01653': 'acetolactate synthase I/III small subunit [EC:2.2.1.6]', 'K11258': 'acetolactate synthase II small subunit [EC:2.2.1.6]'}","{'K00163,K00161,K00162,K00627,K00382,K13997': 'pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209 R00014 R03270 R02569 R07618]', 'K00169,K00170,K00171,K00172,K00189,K03737': 'pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]'}","((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"
M00377,R00134,https://www.genome.jp/dbget-bin/www_bget?rn:R00134,"K05299,K15022",K05299+K15022,"Reviewed by SM. FdhA and FdhB are required https://www.uniprot.org/uniprot/Q8GC87, https://www.ncbi.nlm.nih.gov/labs/pmc/articles/PMC152622/","{'K05299': 'formate dehydrogenase (NADP+) alpha subunit [EC:1.17.1.10]', 'K15022': 'formate dehydrogenase (NADP+) beta subunit [EC:1.17.1.10]'}","{'K00198': 'carbon-monoxide dehydrogenase [EC:1.2.7.4] [RN:R07157]', 'K05299,K15022': 'formate dehydrogenase [EC:1.17.1.10] [RN:R00134]', 'K01938': 'formate--tetrahydrofolate ligase [EC:6.3.4.3] [RN:R00943]', 'K01491': 'methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9] [RN:R01655 R01220]', 'K00297': 'methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20] [RN:R07168]', 'K15023': '5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258] [RN:R02289]', 'K14138': 'acetyl-CoA synthase [EC:2.3.1.169] [RN:R08433]', 'K00197+K00194': 'acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R10243]'}",K00198 K05299-K15022 K01938 K01491 K00297 K15023 K14138+K00197+K00194
M00528,R00148,https://www.genome.jp/dbget-bin/www_bget?rn:R00148,"K10946,K10945,K10944",K10946+K10945+K10944,Reviewed by SM.,"{'K10944': 'methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]', 'K10945': 'methane/ammonia monooxygenase subunit B', 'K10946': 'methane/ammonia monooxygenase subunit C'}","{'K10944+K10945+K10946': 'ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]', 'K10535': 'hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]'}",K10944+K10945+K10946 K10535
M00804,R00148,https://www.genome.jp/dbget-bin/www_bget?rn:R00148,"K10946,K10945,K10944",K10946+K10945+K10944,Reviewed by SM.,"{'K10944': 'methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]', 'K10945': 'methane/ammonia monooxygenase subunit B', 'K10946': 'methane/ammonia monooxygenase subunit C'}","{'K10944+K10945+K10946': 'ammonia monooxygenase [EC:1.14.99.39] [RN:R00148]', 'K10535': 'hydroxylamine oxidase [EC:1.7.2.6] [RN:R10164]', 'K00370+K00371': 'nitrite oxidoreductase [EC:1.7.99.4] [RN:R00798]'}",K10944+K10945+K10946 K10535 K00370+K00371
M00307,R00209,https://www.genome.jp/dbget-bin/www_bget?rn:R00209,"K00627,K00161,K00163,K00382,K00162",K00627+K00161+K00163+K00382+K00162,Reviewed by SM.,"{'K00161': 'pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]', 'K00162': 'pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]', 'K00163': 'pyruvate dehydrogenase E1 component [EC:1.2.4.1]', 'K00382': 'dihydrolipoamide dehydrogenase [EC:1.8.1.4]', 'K00627': 'pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]'}","{'K00163,K00161,K00162,K00627,K00382,K13997': 'pyruvate dehydrogenase complex [EC:1.2.4.1 2.3.1.12 1.8.1.4] [RN:R00209 R00014 R03270 R02569 R07618]', 'K00169,K00170,K00171,K00172,K00189,K03737': 'pyruvate:ferredoxin oxidoreductase [EC:1.2.7.1] [RN:R01196]'}","((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"
M00019,R00226,https://www.genome.jp/dbget-bin/www_bget?rn:R00226,"K01652,K01653,K11258","K01652+K01653,K01652+K11258",Reviewed by SM.,"{'K01652': 'acetolactate synthase I/II/III large subunit [EC:2.2.1.6]', 'K01653': 'acetolactate synthase I/III small subunit [EC:2.2.1.6]', 'K11258': 'acetolactate synthase II small subunit [EC:2.2.1.6]'}","{'K01652,K01653,K11258': 'acetolactate synthase [EC:2.2.1.6] [RN:R00226 R08648]', 'K00053': 'ketol-acid reductoisomerase [EC:1.1.1.86] [RN:R05071 R04440 R04439 R05069 R05068]', 'K01687': 'dihydroxy-acid dehydratase [EC:4.2.1.9] [RN:R04441 R05070]', 'K00826': 'branched-chain amino acid aminotransferase [EC:2.6.1.42] [RN:R01214 R02199]'}","K01652+(K01653,K11258) K00053 K01687 K00826"
M00545,R00228,https://www.genome.jp/dbget-bin/www_bget?rn:R00228,"K00132,K04072,K18366,K04021,K04073","K00132,K04072,K18366,K04021,K04073",Reviewed by SM. acetaldehyde oxidoreductases that Acetylate CoA,"{'K00132': 'acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]', 'K04021': 'aldehyde dehydrogenase', 'K04072': 'acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]', 'K04073': 'acetaldehyde dehydrogenase [EC:1.2.1.10]', 'K18366': 'acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]'}","{'K05708+K05709+K05710+K00529': '3-phenylpropionate/cinnamic acid dioxygenase [EC:1.14.12.19] [RN:R06783]', 'K05711': '2,3-dihydroxy-2,3-dihydrophenylpropionate dehydrogenase [EC:1.3.1.87] [RN:R06785]', 'K05712': 'mhpA; 3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.127] [RN:R06787]', 'K05713': '2,3-dihydroxyphenylpropionate 1,2-dioxygenase [EC:1.13.11.16] [RN:R06788]', 'K05714': '2-hydroxy-6-ketonona-2,4-dienedioic acid hydrolase [EC:3.7.1.14] [RN:R06789]', 'K02554': '2-keto-4-pentenoate hydratase [EC:4.2.1.80] [RN:R02601]', 'K01666': '4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39] [RN:R00750]', 'K04073': 'acetaldehyde dehydrogenase [EC:1.2.1.10] [RN:R00228]'}","(((K05708+K05709+K05710+K00529) K05711),K05712) K05713 K05714 K02554 K01666 K04073"
M00569,R00228,https://www.genome.jp/dbget-bin/www_bget?rn:R00228,"K00132,K04072,K18366,K04021,K04073","K00132,K04072,K18366,K04021,K04073",Reviewed by SM. acetaldehyde oxidoreductases that Acetylate CoA,"{'K00132': 'acetaldehyde dehydrogenase (acetylating) [EC:1.2.1.10]', 'K04021': 'aldehyde dehydrogenase', 'K04072': 'acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1]', 'K04073': 'acetaldehyde dehydrogenase [EC:1.2.1.10]', 'K18366': 'acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87]'}","{'K00446,K07104': 'catechol 2,3-dioxygenase [EC:1.13.11.2] [RN:R00816 R05295]', 'K10217': '2-hydroxymuconate-6-semialdehyde dehydrogenase [EC:1.2.1.85] [RN:R02762 R05353]', 'K01821': '4-oxalocrotonate tautomerase [EC:5.3.2.6] [RN:R03966 R05389]', 'K01617': '4-oxalocrotonate decarboxylase [EC:4.1.1.77] [RN:R02602 R05374]', 'K10216': '2-hydroxymuconate-semialdehyde hydrolase [EC:3.7.1.9] [RN:R02604 R05865]', 'K18364': '2-oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase [EC:4.2.1.80 4.2.1.132] [RN:R02601 R05864]', 'K02554': '2-keto-4-pentenoate hydratase [EC:4.2.1.80] [RN:R02601]', 'K18365': '4-hydroxy-2-oxovalerate/4-hydroxy-2-oxohexanoate aldolase [EC:4.1.3.39 4.1.3.43] [RN:R00750 R05298]', 'K01666': '4-hydroxy 2-oxovalerate aldolase [EC:4.1.3.39] [RN:R00750]', 'K18366': 'acetaldehyde/propanal dehydrogenase [EC:1.2.1.10 1.2.1.87] [RN:R00228 R09097]', 'K04073': 'acetaldehyde dehydrogenase [EC:1.2.1.10] [RN:R00228]'}","(K00446,K07104) ((K10217 K01821 K01617),K10216) (K18364,K02554) (K18365,K01666) (K18366,K04073)"
M00357,R00230,https://www.genome.jp/dbget-bin/www_bget?rn:R00230,"K04020,K00625,K15024,K13788","K04020,K00625,K15024,K13788",Reviewed by SM. pta enzymes,"{'K00625': 'phosphate acetyltransferase [EC:2.3.1.8]', 'K04020': 'phosphotransacetylase', 'K13788': 'phosphate acetyltransferase [EC:2.3.1.8]', 'K15024': 'putative phosphotransacetylase [EC:2.3.1.8]'}","{'K00925': 'acetate kinase [EC:2.7.2.1] [RN:R00315]', 'K00625': 'phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]', 'K01895': 'acetyl-CoA synthetase [EC:6.2.1.1] [RN:R00235]', 'K00193+K00197+K00194': 'acetyl-CoA decarbonylase/synthase complex [EC:2.3.1.-] [RN:R09096]', 'K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584': 'tetrahydromethanopterin S-methyltransferase [EC:2.1.1.86] [RN:R04347]', 'K00399+K00401+K00402': 'methyl-coenzyme M reductase [EC:2.8.4.1] [RN:R04541]', 'K22480+K22481+K22482': 'heterodisulfide reductase 1 [EC:1.8.7.3] [RN:R11931]', 'K03388+K03389+K03390': 'heterodisulfide reductase 2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6] [RN:R11928 R11931 R11943 R11944]', 'K08264+K08265': 'heterodisulfide reductase [EC:1.8.98.1] [RN:R04540]', 'K14126+K14128': 'F420-non-reducing hydrogenase [EC:1.8.98.5] [RN:R11943]', 'K14127': 'F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.8.98.5 1.8.98.6] [RN:R11943 R11944]', 'K22516+K00125': 'formate dehydrogenase (coenzyme F420) [EC:1.8.98.6] [RN:R11944]'}","((K00925 K00625),K01895) (K00193+K00197+K00194) (K00577+K00578+K00579+K00580+K00581-K00582-K00583+K00584) (K00399+K00401+K00402) (K22480+K22481+K22482,K03388+K03389+K03390,K08264+K08265,K03388+K03389+K03390+K14127+(K14126+K14128,K22516+K00125))"
M00579,R00230,https://www.genome.jp/dbget-bin/www_bget?rn:R00230,"K04020,K00625,K15024,K13788","K04020,K00625,K15024,K13788",Reviewed by SM. pta enzymes,"{'K00625': 'phosphate acetyltransferase [EC:2.3.1.8]', 'K04020': 'phosphotransacetylase', 'K13788': 'phosphate acetyltransferase [EC:2.3.1.8]', 'K15024': 'putative phosphotransacetylase [EC:2.3.1.8]'}","{'K00625,K13788,K15024': 'phosphate acetyltransferase [EC:2.3.1.8] [RN:R00230]', 'K00925': 'acetate kinase [EC:2.7.2.1] [RN:R00315]'}","(K00625,K13788,K15024) K00925"
