ec,rn,url,ko_list,num_ecs,num_kos,rule,notes
1.1.1.1,R00624,https://www.genome.jp/entry/R00624,"K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857",1,10,"K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857",annotated by HBS
1.1.1.1;1.1.1.73,R02878,https://www.genome.jp/entry/R02878,"K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857",2,10,"K00001,K00121,K04072,K11440,K13951,K13952,K13953,K13954,K13980,K18857",annotated by HBS
1.1.1.145,R03176,https://www.genome.jp/entry/R03176,"K00070,K16045",1,2,"K00070,K16045",annotated by HBS
1.1.1.146,R03203,https://www.genome.jp/entry/R03203,"K15680,K22418",1,2,"K15680,K22418",annotated by HBS
1.1.1.170;1.1.1.270;1.14.18.9,R04328,https://www.genome.jp/entry/R04328,"K07748,K09827,K13373,K22970,K07750",3,5,"K07748,K09827,K13373,K22970,K07750",annotated by HBS
1.1.1.170;1.1.1.418,R12366,https://www.genome.jp/entry/R12366,"K07748,K23558",2,2,"K07748,K23558",annotated by HBS
1.1.1.184,R03557,https://www.genome.jp/entry/R03557,"K00079,K00081,K00084",1,3,"K00079,K00081,K00084",annotated by HBS
1.1.1.195,R03054,https://www.genome.jp/entry/R03054,"K00083,K22395",1,2,"K00083,K22395",annotated by HBS
1.1.1.2;1.1.1.71,R00625,https://www.genome.jp/entry/R00625,"K00002,K12957,K13979",2,3,"K00002,K12957,K13979",annotated by HBS
1.1.1.2;1.1.1.71,R07328,https://www.genome.jp/entry/R07328,"K00002,K12957,K13979",2,3,"K00002,K12957,K13979",annotated by HBS
1.1.1.213;1.1.1.357;1.1.1.50,R10422,https://www.genome.jp/entry/R10422,"K00089,K04119,K00037,K00212,K19811",3,5,"K00089,K04119,K00037,K00212,K19811",annotated by HBS
