rn,url,ec,ko_list,num_ecs,num_kos,rule,notes
R00001,https://www.genome.jp/entry/R00001,3.6.1.10,K06018,1,1,,
R00011,https://www.genome.jp/entry/R00011,1.11.1.13;1.11.1.16,K20205,2,1,,
R00012,https://www.genome.jp/entry/R00012,2.7.7.45,,1,0,,
R00015,https://www.genome.jp/entry/R00015,2.4.1.99,K21351,1,1,,
R00017,https://www.genome.jp/entry/R00017,1.11.1.5,K00428,1,1,,
R00023,https://www.genome.jp/entry/R00023,1.7.1.5,,1,0,,
R00027,https://www.genome.jp/entry/R00027,4.1.2.38,,1,0,,
R00029,https://www.genome.jp/entry/R00029,1.8.2.2,K19713,1,1,,
R00033,https://www.genome.jp/entry/R00033,1.1.3.23,,1,0,,
R00034,https://www.genome.jp/entry/R00034,4.1.99.3,K01669,1,1,,
R00038,https://www.genome.jp/entry/R00038,4.1.2.35,,1,0,,
R00039,https://www.genome.jp/entry/R00039,2.4.1.166,,1,0,,
R00041,https://www.genome.jp/entry/R00041,1.1.3.20,K17756,1,1,,
R00042,https://www.genome.jp/entry/R00042,1.2.3.13,,1,0,,
R00043,https://www.genome.jp/entry/R00043,1.13.11.43,,1,0,,
R00044,https://www.genome.jp/entry/R00044,1.21.3.2,,1,0,,
R00049,https://www.genome.jp/entry/R00049,2.3.1.90,,1,0,,
R00053,https://www.genome.jp/entry/R00053,3.1.1.20,K10759,1,1,,
R00054,https://www.genome.jp/entry/R00054,3.1.1.40,,1,0,,
R00055,https://www.genome.jp/entry/R00055,1.1.3.28,,1,0,,
R00060,https://www.genome.jp/entry/R00060,1.21.3.4,,1,0,,
R00061,https://www.genome.jp/entry/R00061,1.21.3.5,,1,0,,
R00063,https://www.genome.jp/entry/R00063,2.3.1.103,,1,0,,
R00069,https://www.genome.jp/entry/R00069,1.17.3.2,K00106,1,1,,
R00072,https://www.genome.jp/entry/R00072,1.1.3.23,,1,0,,
R00075,https://www.genome.jp/entry/R00075,2.5.1.43,K05953,1,1,,
R00076,https://www.genome.jp/entry/R00076,2.7.11.19,K00871,1,1,,
R00077,https://www.genome.jp/entry/R00077,3.1.3.17,,1,0,,
R00080,https://www.genome.jp/entry/R00080,1.1.3.14;1.10.3.1,K00422,2,1,,
R00088,https://www.genome.jp/entry/R00088,3.5.4.17;3.5.4.18,,2,0,,
R00090,https://www.genome.jp/entry/R00090,1.11.1.1,K05910,1,1,,
R00092,https://www.genome.jp/entry/R00092,1.16.1.7,K00521,1,1,,
R00099,https://www.genome.jp/entry/R00099,1.16.1.4,,1,0,,
R00101,https://www.genome.jp/entry/R00101,1.6.2.6,,1,0,,
R00105,https://www.genome.jp/entry/R00105,2.7.1.86,K19386,1,1,,
R00108,https://www.genome.jp/entry/R00108,1.6.2.5,,1,0,,
R00109,https://www.genome.jp/entry/R00109,1.6.2.6,,1,0,,
R00113,https://www.genome.jp/entry/R00113,1.11.1.2,,1,0,,
R00118,https://www.genome.jp/entry/R00118,3.1.3.108,K18764,1,1,,
R00120,https://www.genome.jp/entry/R00120,1.8.3.3,,1,0,,
R00123,https://www.genome.jp/entry/R00123,3.5.4.17;3.5.4.7,,2,0,,
R00128,https://www.genome.jp/entry/R00128,3.6.1.14,,1,0,,
R00129,https://www.genome.jp/entry/R00129,4.2.1.93,K17757,1,1,,
R00138,https://www.genome.jp/entry/R00138,3.6.1.25,K18446,1,1,,
R00141,https://www.genome.jp/entry/R00141,2.7.3.8,,1,0,,
R00175,https://www.genome.jp/entry/R00175,3.3.1.2,K21534,1,1,,
R00180,https://www.genome.jp/entry/R00180,2.5.1.4,,1,0,,
R00193,https://www.genome.jp/entry/R00193,3.5.4.28,K12960,1,1,,
