reaction,origin,rule
R00070,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R00270,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R00647,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R00864,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R01390,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R01652,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R02127,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R02128,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R02317,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R02670,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R02905,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R02962,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03128,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03166,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03186,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03195,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03249,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03311,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03314,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03445,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03521,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03672,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03674,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03677,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03758,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03878,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R03954,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R04175,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R04282,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R04283,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R04293,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R04336,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R04446,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R04500,map_rn2ko_spontaneous,frozenset({'spontaneous'})
R04578,map_rn2ko_spontaneous,frozenset({'spontaneous'})
