Reaction,url,KOs,Rule,Notes,Unclear,effector,anchor,auxiliary,carrier,pts,subunit,chain,reductase component,orthology
R10149,https://www.genome.jp/dbget-bin/www_bget?rn:R10149,"K08352,K08353,K08354",K08352+K08353+K08354,,Manually reviewed by JG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"{'K08352': 'thiosulfate reductase / polysulfide reductase chain A [EC:1.8.5.5]',
 'K08353': 'thiosulfate reductase electron transport protein',
 'K08354': 'thiosulfate reductase cytochrome b subunit'}"
R00006,https://www.genome.jp/dbget-bin/www_bget?rn:R00006,"K11258,K01652,K01653","K01652+K01653,K01652+K11258","TPP and flavin dependent. See Protein Science(2007), 16:1360–1367. ""the  acetohydroxyacid  synthases  are  multimericproteins,  and  most  frequently  their  biological  unit  iscomposed of two ""catalytic subunits (CSU) and two smallregulatory  subunits  (SSU).  In  the  absence  of  the  SSUsubunit,  the  CSU  dimer  is  unstable  (Vyazmensky  et  al.1996),  suggesting  that  in  the  holoenzyme  the  AHASdimer  is  stabilized  by  a  SSU  dimer.  The  large  catalyticsubunits   also   show   very   weak   activity   without   theirassociated  regulatory  subunits  (Weinstock  et  al.  1992;Pang and Duggleby 1999). TheE. coliAHAS enzyme canbe reconstituted with SSU subunits from other organisms(Porat  et  al.  2004),  and  the  reconstituted  enzymes  formstable  heterotetramers. ",Manually reviewed by SM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K01652': 'acetolactate synthase I/II/III large subunit [EC:2.2.1.6]',
 'K01653': 'acetolactate synthase I/III small subunit [EC:2.2.1.6]',
 'K11258': 'acetolactate synthase II small subunit [EC:2.2.1.6]'}"
R00019,https://www.genome.jp/dbget-bin/www_bget?rn:R00019,"K00532,K00533,K00534,K18016,K14127,K18017,K18023,K14128,K06441,K14126",K00532+K00533+K00534+K18016+K14127+K18017+K18023+K14128+K06441+K14126,membrane bound Fd acting on NiFe hydrogenase,Manually reviewed by SM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K00532': 'ferredoxin hydrogenase [EC:1.12.7.2]',
 'K00533': 'ferredoxin hydrogenase large subunit [EC:1.12.7.2]',
 'K00534': 'ferredoxin hydrogenase small subunit [EC:1.12.7.2]',
 'K06441': 'ferredoxin hydrogenase gamma subunit [EC:1.12.7.2]',
 'K14126': 'F420-non-reducing hydrogenase large subunit [EC:1.12.99.- '
           '1.8.98.5]',
 'K14127': 'F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- '
           '1.8.98.5 1.8.98.6]',
 'K14128': 'F420-non-reducing hydrogenase small subunit [EC:1.12.99.- '
           '1.8.98.5]',
 'K18016': 'membrane-bound hydrogenase subunit alpha [EC:1.12.7.2]',
 'K18017': 'membrane-bound hydrogenase subunit beta [EC:1.12.7.2]',
 'K18023': 'membrane-bound hydrogenase subunit mbhJ [EC:1.12.7.2]'}"
R00131,https://www.genome.jp/dbget-bin/www_bget?rn:R00131,"K01428,K14048,K01429,K01430,K01427",K01428+K14048+K01429+K01430+K01427,Ni Binding at carbomylated Lys residues and maturated by 4 maturases. https://academic.oup.com/plphys/article/139/3/1155/6113493,Manually reviewed by SM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K01427': 'urease [EC:3.5.1.5]',
 'K01428': 'urease subunit alpha [EC:3.5.1.5]',
 'K01429': 'urease subunit beta [EC:3.5.1.5]',
 'K01430': 'urease subunit gamma [EC:3.5.1.5]',
 'K14048': 'urease subunit gamma/beta [EC:3.5.1.5]'}"
R00256,https://www.genome.jp/dbget-bin/www_bget?rn:R00256,"K01954,K05597,K11540,K01955,K11541,K01956,K23265,K01425","K01425,K01954,K01955+K01956,K05597,K11540,K11541,K23265",multiple enzymes ligating ammonium to glutamate.  multifunctional eukaryotic K11540 (CAD protein) is homologous to bacterial transferases DOI: https://doi.org/10.1016/j.str.2013.10.016,Manually reviewed by SM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K01425': 'glutaminase [EC:3.5.1.2]',
 'K01954': 'carbamoyl-phosphate synthase [EC:6.3.5.5]',
 'K01955': 'carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]',
 'K01956': 'carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]',
 'K05597': 'glutamin-(asparagin-)ase [EC:3.5.1.38]',
 'K11540': 'carbamoyl-phosphate synthase / aspartate carbamoyltransferase / '
           'dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3]',
 'K11541': 'carbamoyl-phosphate synthase / aspartate carbamoyltransferase '
           '[EC:6.3.5.5 2.1.3.2]',
 'K23265': 'phosphoribosylformylglycinamidine synthase subunit PurQ / '
           'glutaminase [EC:6.3.5.3 3.5.1.2]'}"
R00374,https://www.genome.jp/dbget-bin/www_bget?rn:R00374,"K10815,K10814,K10816",K10815+K10814+K10816,"3 component enzyme forming cyanide from glycine in a 4 electron oxidation, physiologically but not enzymatically on oxygen JOURNAL OF BACTERIOLOGY, June. Arch Microbiol (2000) 173 : 170–1771998, p. 3187–3196",Manually reviewed by SM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"{'K10814': 'hydrogen cyanide synthase HcnA [EC:1.4.99.5]',
 'K10815': 'hydrogen cyanide synthase HcnB [EC:1.4.99.5]',
 'K10816': 'hydrogen cyanide synthase HcnC [EC:1.4.99.5]'}"
R00434,https://www.genome.jp/dbget-bin/www_bget?rn:R00434,"K08042,K08041,K22600,K11265,K08047,K08045,K08043,K08044,K05873,K01769,K12318,K05851,K01768,K08048,K12324,K12323,K12322,K11029,K12320,K08049,K12319,K12321,K08046","K08042,K08041,K22600,K11265,K08047,K08045,K08043,K08044,K05873,K01769,K05851,K01768,K08048,K12324,K12323,K12322,K11029,K12320,K08049,K12321,K08046, K12318+ K12319",,Reviewed by JG,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K01768': 'adenylate cyclase [EC:4.6.1.1]',
 'K01769': 'guanylate cyclase, other [EC:4.6.1.2]',
 'K05851': 'adenylate cyclase, class 1 [EC:4.6.1.1]',
 'K05873': 'adenylate cyclase, class 2 [EC:4.6.1.1]',
 'K08041': 'adenylate cyclase 1 [EC:4.6.1.1]',
 'K08042': 'adenylate cyclase 2 [EC:4.6.1.1]',
 'K08043': 'adenylate cyclase 3 [EC:4.6.1.1]',
 'K08044': 'adenylate cyclase 4 [EC:4.6.1.1]',
 'K08045': 'adenylate cyclase 5 [EC:4.6.1.1]',
 'K08046': 'adenylate cyclase 6 [EC:4.6.1.1]',
 'K08047': 'adenylate cyclase 7 [EC:4.6.1.1]',
 'K08048': 'adenylate cyclase 8 [EC:4.6.1.1]',
 'K08049': 'adenylate cyclase 9 [EC:4.6.1.1]',
 'K11029': 'anthrax edema toxin adenylate cyclase [EC:4.6.1.1]',
 'K11265': 'adenylate cyclase 10 [EC:4.6.1.1]',
 'K12318': 'guanylate cyclase soluble subunit alpha [EC:4.6.1.2]',
 'K12319': 'guanylate cyclase soluble subunit beta [EC:4.6.1.2]',
 'K12320': 'heat-stable enterotoxin receptor [EC:4.6.1.2]',
 'K12321': 'guanylate cyclase 2D/E [EC:4.6.1.2]',
 'K12322': 'guanylate cyclase 2F [EC:4.6.1.2]',
 'K12323': 'atrial natriuretic peptide receptor A [EC:4.6.1.2]',
 'K12324': 'atrial natriuretic peptide receptor B [EC:4.6.1.2]',
 'K22600': 'guanylate cyclase 2G [EC:4.6.1.2]'}"
R00519,https://www.genome.jp/dbget-bin/www_bget?rn:R00519,"K00124,K22515,K00127,K00122,K00123,K00126","K00122, K00123+K00127+K00124","Fdh from yeast is encoded by a single gene and is soluble 10.1002/yea.856 DOI: 10.1002/yea.856. the three of K00123, K00127, K00124 correspond to the membrane bound Fdh which connects to nitrate reductase and forms a redox loop JOURNAL OF BACTERIOLOGY, Dec. 1995, p. 7141–7149. K22515 is the beta subunit of the catalytic complex fdwB and is not included here https://pubmed.ncbi.nlm.nih.gov/9756865/. K00126 is FdsD and may be involved in the quarternary structure and is not included here https://pubmed.ncbi.nlm.nih.gov/9756865/. ",Manually reviewed by SM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K00122': 'formate dehydrogenase [EC:1.17.1.9]',
 'K00123': 'formate dehydrogenase major subunit [EC:1.17.1.9]',
 'K00124': 'formate dehydrogenase iron-sulfur subunit',
 'K00126': 'formate dehydrogenase subunit delta [EC:1.17.1.9]',
 'K00127': 'formate dehydrogenase subunit gamma',
 'K22515': 'formate dehydrogenase beta subunit [EC:1.17.1.9]'}"
R01106,https://www.genome.jp/dbget-bin/www_bget?rn:R01106,"K00374,K00372,K00371,K00370,K02567",K00370+K00371+K00374,"K00370+K00371+K00374 are NarG, H, and I DOI: 10.1128/JB.185.24.7247–7256.2003. K00372 is a transporter not needed for the reaction https://www.ncbi.nlm.nih.gov/labs/pmc/articles/PMC176753/",Manually reviewed by SM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K00370': 'nitrate reductase / nitrite oxidoreductase, alpha subunit '
           '[EC:1.7.5.1 1.7.99.-]',
 'K00371': 'nitrate reductase / nitrite oxidoreductase, beta subunit '
           '[EC:1.7.5.1 1.7.99.-]',
 'K00372': 'assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]',
 'K00374': 'nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]',
 'K02567': 'nitrate reductase (cytochrome) [EC:1.9.6.1]'}"
R01768,https://www.genome.jp/dbget-bin/www_bget?rn:R01768,"K11177,K11178,K00106,K13483,K13482,K13481,K13480,K13479,K00087","K00106,K11177+K11178+K13483,K13480+K13481+K13482,K00087+K13479+K13480","K00106 is XDH/XO which can do both reactions, the other sets of three are split up versions. K00087+13479 was manually paired with xdhC K13480 since an xdhC subunit was not given in KEGG DOI: https://doi.org/10.1128/JB.182.19.5332-5341.2000. The Mamallian enzyme can do both reactions, oxidase and dehydrogenase.",Manually reviewed by SM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"{'K00087': 'xanthine dehydrogenase molybdenum-binding subunit [EC:1.17.1.4]',
 'K00106': 'xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2]',
 'K11177': 'xanthine dehydrogenase YagR molybdenum-binding subunit '
           '[EC:1.17.1.4]',
 'K11178': 'xanthine dehydrogenase YagS FAD-binding subunit [EC:1.17.1.4]',
 'K13479': 'xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]',
 'K13480': 'xanthine dehydrogenase iron-sulfur-binding subunit',
 'K13481': 'xanthine dehydrogenase small subunit [EC:1.17.1.4]',
 'K13482': 'xanthine dehydrogenase large subunit [EC:1.17.1.4]',
 'K13483': 'xanthine dehydrogenase YagT iron-sulfur-binding subunit'}"
